Module,Slide_Type,Topic,Text_Content,Code_Block
03_C_Flow_Control,Concept,For Loop (ทำซ้ำแบบกำหนดจำนวนรอบได้ชัดเจน),"รวบรวมการตั้งจุดเริ่มต้น, เงื่อนไข, และการเปลี่ยนแปลงค่า ไว้ในบรรทัดเดียวกัน","#include <stdio.h>

int main() {
    // for (เริ่มต้น ; ตรวจสอบเงื่อนไข ; อัปเดตค่า)
    for (int i = 5; i > 0; i--) {
        printf(""เหลือเวลา %d วินาที\n"", i);
    }
    printf(""หมดเวลา!\n"");
    return 0;
}"
03_C_Flow_Control,Exercise,แบบฝึกหัด 3.3: โปรแกรมสูตรคูณ,"รับแม่สูตรคูณ 1 ตัว แล้วใช้ Loop พิมพ์สูตรคูณแม่นั้นตั้งแต่คูณ 1 ถึง 12
ตัวอย่าง:","Enter number: 2
2 x 1 = 2
2 x 2 = 4
...
2 x 12 = 24"
03_C_Flow_Control,Exercise,แบบฝึกหัด 3.4: พิมพ์ดวงดาว,"รับตัวเลข `N` 1 ตัว แล้วใช้ Loop พิมพ์เครื่องหมาย `*` ติดกันจำนวน `N` ดวง 
(เช่น หากผู้ใช้พิมพ์เลข 5 จะแสดงผลเป็น `*****`)",
04_Arrays_and_Functions,Module Title,บทที่ 4: อาร์เรย์ (Arrays) และ ฟังก์ชัน (Functions),,
04_Arrays_and_Functions,Concept,Arrays (ชุดข้อมูล),"หากเราต้องการเก็บคะแนนสอบของนักเรียน 50 คน การสร้างตัวแปรแยกกัน 50 ตัวแปรคงไม่ใช่วิธีที่ดีนัก เราสามารถใช้ **Array** เพื่อเก็บข้อมูลประเภทเดียวกันหลายๆ ค่าไว้ภายใต้ชื่อตัวแปรเดียวได้ โดยจะมีการระบุตำแหน่งของข้อมูลด้วย ""หมายเลข Index""
> **ข้อสังเกตที่สำคัญ:** หมายเลข Index ของ Array **เริ่มต้นที่ 0 เสมอ** (ข้อมูลตัวแรกจะอยู่ที่ Index 0)","#include <stdio.h>

int main() {
    // สร้าง Array ชื่อ scores เก็บข้อมูลชนิด int จำนวน 5 ค่า
    int scores[5] = {10, 20, 30, 40, 50};
    
    printf(""คะแนนคนที่ 1 (Index 0): %d\n"", scores[0]);
    printf(""คะแนนคนที่ 5 (Index 4): %d\n"", scores[4]);
    
    // เรานิยมใช้ For Loop ร่วมกับ Array เพื่อเข้าถึงข้อมูลทุกตัว
    for(int i = 0; i < 5; i++) {
        printf(""คะแนนคนที่ %d: %d\n"", i+1, scores[i]);
    }
    return 0;
}"
04_Arrays_and_Functions,Concept,การสร้าง String (ข้อความ) ด้วย Array ของ Char,ในภาษา C จะไม่มีตัวแปรประเภท String (ข้อความ) โดยตรง แต่เราสามารถนำตัวแปร `char` (ที่ปกติเก็บตัวอักษรได้แค่ 1 ตัว) มาเรียงต่อกันเป็น Array เพื่อเก็บข้อความยาวๆ ได้,"#include <stdio.h>

int main() {
    // จองพื้นที่ 20 ช่องสำหรับเก็บข้อความ (รวมช่องว่างและตัวอักษรพิเศษ \0 ที่ใช้ปิดท้าย String)
    char name[20]; 
    
    printf(""Enter your name: "");
    // การรับค่า String ด้วย scanf ไม่ต้องใส่ & นำหน้าตัวแปร
    scanf(""%s"", name); 
    
    // เวลาแสดงผล String เราจะใช้ %s
    printf(""Welcome, %s!\n"", name);
    return 0;
}"
04_Arrays_and_Functions,Exercise,แบบฝึกหัด 4.1: เครื่องคิดเงินรวม,รับตัวเลขราคาสินค้า 5 ชิ้นเก็บลง Array จากนั้นใช้ For Loop นำตัวเลขทั้งหมดมาบวกกัน แล้วแสดงผลรวม,
04_Arrays_and_Functions,Exercise,แบบฝึกหัด 4.2: หาค่าเฉลี่ย,"ต่อยอดจากข้อ 4.1 ให้นำผลรวมที่ได้มาคำนวณหาค่าเฉลี่ย (คำใบ้: ระวังเรื่องชนิดข้อมูลเวลาหาร เพื่อให้ได้ผลลัพธ์เป็นทศนิยม)
---",
04_Arrays_and_Functions,Concept,ฟังก์ชัน (Functions),เมื่อโปรแกรมมีขนาดใหญ่ขึ้น การเขียนคำสั่งทั้งหมดไว้ใน `main` จะทำให้โค้ดดูซับซ้อน เราจึงแยกโค้ดบางส่วนออกเป็น **ฟังก์ชัน** เพื่อความเป็นระเบียบและสามารถเรียกซ้ำได้,"#include <stdio.h>

// 1. ฟังก์ชันแบบ ""ไม่คืนค่า"" (ระบุชนิดเป็น void)
// ใช้เมื่อต้องการให้ฟังก์ชันทำงานบางอย่างให้เสร็จสิ้นโดยไม่ต้องส่งค่ากลับมา
void say_hello() {
    printf(""Hello CBC!\n"");
}

// 2. ฟังก์ชันแบบ ""คืนค่า"" (ระบุชนิดข้อมูล เช่น int)
// ใช้เมื่อต้องการให้ฟังก์ชันคำนวณและส่งผลลัพธ์กลับมาให้โปรแกรมหลักใช้งานต่อ
int add(int a, int b) {
    int result = a + b;
    return result; // คืนค่าผลลัพธ์กลับไป
}

int main() {
    say_hello(); // เรียกใช้งานฟังก์ชัน say_hello
    
    // เรียกใช้งานฟังก์ชัน add โดยส่งค่า 5 และ 7 ไป
    // และสร้างตัวแปร sum มารอรับค่าที่ฟังก์ชันส่งกลับมา
    int sum = add(5, 7); 
    
    printf(""5 + 7 = %d\n"", sum);
    
    return 0;
}"
04_Arrays_and_Functions,Exercise,แบบฝึกหัด 4.3: ฟังก์ชันทวีคูณ (Double It!),สร้างฟังก์ชันชื่อ `double_number` ที่รับค่าตัวเลข (int) 1 ตัว แล้วทำการคูณ 2 จากนั้นคืนค่ากลับมาเพื่อแสดงผลใน `main`,
04_Arrays_and_Functions,Exercise,แบบฝึกหัด 4.4: ฟังก์ชันตรวจสอบผ่าน/ตก,"สร้างฟังก์ชันชื่อ `check_pass` ที่รับคะแนน 1 ตัว (int)
- ถ้าคะแนน >= 50 ให้คืนค่า 1 (แทนความหมายว่า ผ่าน)
- ถ้าคะแนน < 50 ให้คืนค่า 0 (แทนความหมายว่า ตก)
จากนั้นใน `main` ให้เรียกใช้ฟังก์ชันและแสดงผลลัพธ์",
05_Workshop,Module Title,บทที่ 5: Workshop รวมมิตรโจทย์ภาษา C,"ในส่วนนี้จะเป็นโจทย์ Workshop ที่ให้ทดลองประยุกต์ใช้ความรู้ทั้งหมดที่เรียนมาครับ สามารถเลือกทำข้อที่สนใจได้เลย
---",
05_Workshop,Concept,หมวด A: ประยุกต์ใช้ความรู้พื้นฐาน (บทที่ 1-3),,
05_Workshop,Concept,1. เครื่องคิดเลขจิ๋ว (Mini Calculator),"เขียนโปรแกรมรับตัวเลข 2 ตัว และเครื่องหมายคณิตศาสตร์ 1 ตัว (`+`, `-`, `*`, `/`) จากนั้นคำนวณและแสดงผลลัพธ์
> **คำใบ้:** เวลาใช้ `scanf` รับตัวอักษร 1 ตัว ให้ใช้ `%c` แนะนำให้เว้นวรรคตอนรับค่าเป็น `scanf("" %c"", &op);` เพื่อป้องกันปัญหาการอ่านค่า Enter ตกค้าง จากนั้นใช้ `if-else if` เพื่อตรวจสอบเครื่องหมายและคำนวณผลลัพธ์",
05_Workshop,Concept,2. ตู้กดน้ำอัตโนมัติ (Vending Machine),"เขียนโปรแกรมจำลองตู้กดน้ำ กำหนดราคาไว้ล่วงหน้า (เช่น น้ำเปล่า 10 บาท, โคล่า 15 บาท) ให้ผู้ใช้ป้อน **จำนวนเงินที่หยอดตู้** และ **เลือกเมนู** 
- ถ้าเงินพอ: ให้คำนวณและแสดง ""เงินทอน""
- ถ้าเงินไม่พอ: ให้แสดง ""เงินไม่พอ ขาดอีก X บาท""
> **คำใบ้:** สร้างเมนูให้ผู้ใช้เลือก (1=น้ำเปล่า, 2=โคล่า) แล้วใช้ `if-else` ตรวจสอบว่าเงินที่หยอด - ราคาน้ำ มีค่ามากกว่าหรือเท่ากับ 0 หรือไม่",
05_Workshop,Concept,3. เกมทายใจตัวเลขปริศนา (Guess the Number),"โปรแกรมกำหนดตัวเลขปริศนาไว้ 1 ตัว (เช่น 42) ให้ผู้ใช้พิมพ์ทายตัวเลขไปเรื่อยๆ โปรแกรมจะตอบกลับว่า ""มากไป"" หรือ ""น้อยไป"" จนกว่าจะทายถูก
> **คำใบ้:** ใช้ `while` ลูป โดยกำหนดเงื่อนไขคือ `เลขที่ทาย != เลขปริศนา` และใช้ `if-else` ด้านในเพื่อตรวจสอบว่าค่าที่ผู้ใช้พิมพ์มีค่ามากกว่าหรือน้อยกว่าตัวเลขปริศนา",
05_Workshop,Concept,4. พีระมิดดวงดาว (Star Pyramid),"รับตัวเลข `N` 1 ตัว แล้วแสดงรูปสามเหลี่ยมมุมฉากที่ทำจากเครื่องหมาย `*` ความสูง `N` ชั้น
ตัวอย่างหากป้อน $N=4$:
> **คำใบ้:** ต้องใช้ `for` ลูปซ้อนกัน 2 ชั้น (Nested Loop) ลูปด้านนอกควบคุม ""บรรทัด"" และลูปด้านในควบคุม ""จำนวนดาว"" โดยจำนวนดาวในแต่ละบรรทัดจะเท่ากับเลขบรรทัดนั้นๆ","*
**
***
****"
05_Workshop,Concept,5. ค้นหาค่าสูงสุด (Find Maximum),"ให้ผู้ใช้ป้อนคะแนนเข้ามาเรื่อยๆ หากผู้ใช้พิมพ์ `-1` โปรแกรมจะหยุดทำงานและแสดงผล ""คะแนนที่สูงที่สุด"" ที่ป้อนเข้ามา
> **คำใบ้:** สร้างตัวแปร `max_score = 0` ไว้ด้านนอกลูป เมื่อเข้าสู่ลูปและรับค่ามา ให้ตรวจสอบว่าค่าที่ป้อนมากกว่า `max_score` หรือไม่ หากมากกว่า ให้นำค่านั้นไปแทนที่ `max_score`
---",
05_Workshop,Concept,หมวด B: จัดเต็มความรู้ (อาร์เรย์ และ ฟังก์ชัน),,
05_Workshop,Concept,6. เครื่องคิดเงินซุปเปอร์มาร์เก็ต (Supermarket),"รับราคาสินค้า 5 ชิ้นเก็บลงใน `Array` แล้วส่งข้อมูล Array นั้นไปยัง `Function` เพื่อคำนวณยอดรวมพร้อมภาษีมูลค่าเพิ่ม (VAT 7%) ก่อนส่งค่ากลับมาแสดงผล
> **คำใบ้:** สร้างฟังก์ชันที่รับพารามิเตอร์เป็น Array (เช่น `float calc_total(int arr[])`) ใช้ลูปหาผลรวมทั้งหมด แล้ว `return` ค่าผลรวมคูณด้วย 1.07",
05_Workshop,Concept,7. ค้นหานักเรียนที่สอบผ่าน (Pass/Fail Finder),"กำหนด `Array` เก็บคะแนนสอบของนักเรียน 10 คน ให้สร้าง `Function` เพื่อนับว่ามีนักเรียนสอบผ่าน (คะแนน >= 50) กี่คน และสอบตกกี่คน
> **คำใบ้:** ภายในฟังก์ชันให้ใช้ลูปตรวจสอบข้อมูลใน Array ทีละช่อง หากคะแนน >= 50 ให้เพิ่มค่าตัวแปร `pass_count` หากไม่ถึงให้เพิ่มค่า `fail_count`",
05_Workshop,Concept,8. สลับตัวอักษร (Word Reverser),"รับข้อความ 1 คำ แล้วแสดงข้อความนั้นในลักษณะเรียงจากหลังมาหน้า (เช่น ป้อน `hello` แสดงผลเป็น `olleh`)
> **คำใบ้:** ต้องเรียกใช้ไลบรารี `<string.h>` เพื่อใช้งานฟังก์ชัน `strlen()` ในการหาความยาวของข้อความ จากนั้นใช้ `for` ลูปพิมพ์ตัวอักษรถอยหลังจากดัชนีสุดท้ายมาถึง 0",
05_Workshop,Concept,9. ตู้เอทีเอ็มจำลอง (Personal ATM),"สร้างฟังก์ชัน 3 ตัว คือ `deposit()` (ฝาก), `withdraw()` (ถอน), และ `check_balance()` (เช็คยอด) ให้ผู้ใช้สามารถทำรายการต่างๆ สลับกันไปมาได้เรื่อยๆ ผ่านเมนูตัวเลือก จนกว่าจะกดออก
> **คำใบ้:** ใช้ `while` ลูปในการสร้างเมนู และใช้ตัวแปร `balance` ที่ฝั่ง `main` ส่งไปให้ฟังก์ชันคำนวณยอดเงิน จากนั้นให้ฟังก์ชัน `return` ค่ากลับมาอัปเดตตัวแปร `balance`",
05_Workshop,Concept,10. ระบบสุ่มผู้โชคดี (Lucky Draw),"ให้สร้างโปรแกรมสุ่มชื่อผู้โชคดี โดยมีรายชื่อ 5 คนเก็บใน Array 
> **คำใบ้:** 
> 1. ในภาษา C เราจะใช้ไลบรารี `<stdlib.h>` สำหรับการสุ่มเลข และ `<time.h>` เพื่อเรียกใช้เวลา
> 2. พิมพ์คำสั่ง `srand(time(NULL));` ไว้บนสุดภายใน main() แค่ครั้งเดียว เพื่อตั้งค่าเริ่มต้นให้ระบบสุ่มตัวเลขไม่ซ้ำเดิม
> 3. ใช้คำสั่ง `int random_index = rand() % 5;` เราจะได้ตัวเลขสุ่มตั้งแต่ 0-4
> 4. นำ `random_index` ไปเป็นหมายเลขช่อง เพื่อดึงรายชื่อผู้โชคดีออกมาจาก Array",
